id,cidade,id_estado,sigla,estado,latitude,longitude,gps,populacao
1100015,ALTA FLORESTA D'OESTE,11,RO,RONDONIA,-11.9296917,-61.9961284,"-11.9296917,-61.9961284",22945
1100023,ARIQUEMES,11,RO,RONDONIA,-9.9076522,-63.0330690,"-9.9076522,-63.033069",107863
1100031,CABIXI,11,RO,RONDONIA,-13.4956065,-60.5424442,"-13.4956065,-60.5424442",5312
1100049,CACOAL,11,RO,RONDONIA,-11.4333000,-61.4420502,"-11.4333,-61.4420502",85359
1100056,CEREJEIRAS,11,RO,RONDONIA,-13.1869870,-60.8168360,"-13.186987,-60.816836",16323
1100064,COLORADO DO OESTE,11,RO,RONDONIA,-13.1174310,-60.5454280,"-13.117431,-60.545428",15882
1100072,CORUMBIARA,11,RO,RONDONIA,-12.9977668,-60.9455009,"-12.9977668,-60.9455009",7391
1100080,COSTA MARQUES,11,RO,RONDONIA,-12.4367165,-64.2279765,"-12.4367165,-64.2279765",18331
1100098,ESPIGAO D'OESTE,11,RO,RONDONIA,-11.5321750,-61.0130935,"-11.532175,-61.0130935",32374
1100106,GUAJARA-MIRIM,11,RO,RONDONIA,-10.7804239,-65.3327825,"-10.7804239,-65.3327825",46174
1100114,JARU,11,RO,RONDONIA,-10.4318260,-62.4787690,"-10.431826,-62.478769",51775
1100122,JI-PARANA,11,RO,RONDONIA,-10.8778148,-61.9277854,"-10.8778148,-61.9277854",128969
1100130,MACHADINHO D'OESTE,11,RO,RONDONIA,-9.4240851,-61.9923719,"-9.4240851,-61.9923719",39991
1100148,NOVA BRASILANDIA D'OESTE,11,RO,RONDONIA,-11.7226920,-62.3155450,"-11.722692,-62.315545",20474
1100155,OURO PRETO DO OESTE,11,RO,RONDONIA,-10.7223354,-62.2533413,"-10.7223354,-62.2533413",36035
1100189,PIMENTA BUENO,11,RO,RONDONIA,-11.6767868,-61.1863902,"-11.6767868,-61.1863902",36660
1100205,PORTO VELHO,11,RO,RONDONIA,-8.7494525,-63.8735438,"-8.7494525,-63.8735438",529544
1100254,PRESIDENTE MEDICI,11,RO,RONDONIA,-11.1686638,-61.9057627,"-11.1686638,-61.9057627",18986
1100262,RIO CRESPO,11,RO,RONDONIA,-9.7052777,-62.9004474,"-9.7052777,-62.9004474",3764
1100288,ROLIM DE MOURA,11,RO,RONDONIA,-11.7270710,-61.7714110,"-11.727071,-61.771411",55058
1100296,SANTA LUZIA D'OESTE,11,RO,RONDONIA,-11.9064424,-61.7797356,"-11.9064424,-61.7797356",6495
1100304,VILHENA,11,RO,RONDONIA,-12.7368536,-60.1465555,"-12.7368536,-60.1465555",99854
1100320,SAO MIGUEL DO GUAPORE,11,RO,RONDONIA,-11.6951466,-62.7195739,"-11.6951466,-62.7195739",23005
1100338,NOVA MAMORE,11,RO,RONDONIA,-10.4104864,-65.3313761,"-10.4104864,-65.3313761",30583
1100346,ALVORADA D'OESTE,11,RO,RONDONIA,-11.3462710,-62.2846970,"-11.346271,-62.284697",14411
