id,cidade,id_estado,sigla,estado,latitude,longitude,gps,populacao
2300101,ABAIARA,23,CE,CEARA,-7.3607808,-39.0487878,"-7.3607808,-39.0487878",11737
2300606,ALTANEIRA,23,CE,CEARA,-6.9980933,-39.7385742,"-6.9980933,-39.7385742",7586
2300804,ANTONINA DO NORTE,23,CE,CEARA,-6.7754187,-39.9879345,"-6.7754187,-39.9879345",7353
2301307,ARARIPE,23,CE,CEARA,-7.2128610,-40.1359222,"-7.212861,-40.1359222",21600
2301604,ASSARE,23,CE,CEARA,-6.8746791,-39.8741385,"-6.8746791,-39.8741385",23417
2301703,AURORA,23,CE,CEARA,-6.9426019,-38.9693765,"-6.9426019,-38.9693765",24654
2301901,BARBALHA,23,CE,CEARA,-7.3121067,-39.3036427,"-7.3121067,-39.3036427",59732
2302008,BARRO,23,CE,CEARA,-7.1713587,-38.7742136,"-7.1713587,-38.7742136",22680
2302503,BREJO SANTO,23,CE,CEARA,-7.4909841,-38.9859152,"-7.4909841,-38.9859152",49477
2302701,CAMPOS SALES,23,CE,CEARA,-7.0742675,-40.3740367,"-7.0742675,-40.3740367",27426
2303204,CARIRIACU,23,CE,CEARA,-7.0417053,-39.2835527,"-7.0417053,-39.2835527",26965
2304202,CRATO,23,CE,CEARA,-7.2369112,-39.4149236,"-7.2369112,-39.4149236",132123
2304301,FARIAS BRITO,23,CE,CEARA,-6.9272823,-39.5714222,"-6.9272823,-39.5714222",19450
2304806,GRANJEIRO,23,CE,CEARA,-6.8889524,-39.2179315,"-6.8889524,-39.2179315",4844
2307106,JARDIM,23,CE,CEARA,-7.5838966,-39.2797130,"-7.5838966,-39.279713",27174
2307205,JATI,23,CE,CEARA,-7.6894344,-39.0060740,"-7.6894344,-39.006074",8111
2307304,JUAZEIRO DO NORTE,23,CE,CEARA,-7.2153453,-39.3153336,"-7.2153453,-39.3153336",274207
2307502,LAVRAS DA MANGABEIRA,23,CE,CEARA,-6.7519554,-38.9634019,"-6.7519554,-38.9634019",31508
2308104,MAURITI,23,CE,CEARA,-7.3870095,-38.7737751,"-7.3870095,-38.7737751",47962
2308302,MILAGRES,23,CE,CEARA,-7.3106846,-38.9447146,"-7.3106846,-38.9447146",27512
2308401,MISSAO VELHA,23,CE,CEARA,-7.2484910,-39.1434843,"-7.248491,-39.1434843",36442
2309201,NOVA OLINDA,23,CE,CEARA,-7.0934174,-39.6789815,"-7.0934174,-39.6789815",15565
2310605,PENAFORTE,23,CE,CEARA,-7.8288372,-39.0751908,"-7.8288372,-39.0751908",9077
2311108,PORTEIRAS,23,CE,CEARA,-7.5341572,-39.1153149,"-7.5341572,-39.1153149",14996
2311207,POTENGI,23,CE,CEARA,-7.0915205,-40.0268241,"-7.0915205,-40.0268241",11045
2311959,SALITRE,23,CE,CEARA,-7.2854450,-40.4573060,"-7.285445,-40.457306",16554
2312106,SANTANA DO CARIRI,23,CE,CEARA,-7.1861693,-39.7374262,"-7.1861693,-39.7374262",17700
2313252,TARRAFAS,23,CE,CEARA,-6.6819901,-39.7575709,"-6.6819901,-39.7575709",8592
2314003,VARZEA ALEGRE,23,CE,CEARA,-6.7936089,-39.2989333,"-6.7936089,-39.2989333",40721
