codigo_ibge,cidade,latitude,longitude,gps
2300101,ABAIARA,-7.34588,-39.0416,"-7.34588,-39.0416"
2300606,ALTANEIRA,-6.998369,-39.7356,"-6.99837,-39.7356"
2301307,ARARIPE,-7.213189,-40.1359,"-7.21319,-40.1359"
2301604,ASSARE,-6.8669,-39.8689,"-6.8669,-39.8689"
2301703,AURORA,-6.933489,-38.9742,"-6.93349,-38.9742"
2301901,BARBALHA,-7.2982,-39.3021,"-7.2982,-39.3021"
2302008,BARRO,-7.171880,-38.7741,"-7.17188,-38.7741"
2302503,BREJO SANTO,-7.48469,-38.9799,"-7.48469,-38.9799"
2302701,CAMPOS SALES,-7.06761,-40.3687,"-7.06761,-40.3687"
2303204,CARIRIACU,-7.02808,-39.2828,"-7.02808,-39.2828"
2304202,CRATO,-7.2153,-39.4103,"-7.2153,-39.4103"
2304301,FARIAS BRITO,-6.92146,-39.5651,"-6.92146,-39.5651"
2304806,GRANJEIRO,-6.88134,-39.2144,"-6.88134,-39.2144"
2307106,JARDIM,-7.575989,-39.2826,"-7.57599,-39.2826"
2307304,JUAZEIRO DO NORTE,-7.196210,-39.3076,"-7.19621,-39.3076"
2307502,LAVRAS DA MANGABEIRA,-6.7448,-38.9706,"-6.7448,-38.9706"
2308104,MAURITI,-7.385969,-38.7708,"-7.38597,-38.7708"
2308302,MILAGRES,-7.29749,-38.9378,"-7.29749,-38.9378"
2308401,MISSAO VELHA,-7.23522,-39.143,"-7.23522,-39.143"
2510204,NOVA OLINDA,-7.47232,-38.0382,"-7.47232,-38.0382"
2310605,PENAFORTE,-7.82163,-39.0707,"-7.82163,-39.0707"
2311108,PORTEIRAS,-7.52265,-39.114,"-7.52265,-39.114"
2311207,POTENGI,-7.091539,-40.0233,"-7.09154,-40.0233"
2311959,SALITRE,-7.283980,-40.45,"-7.28398,-40.45"
2312106,SANTANA DO CARIRI,-7.176130,-39.7302,"-7.17613,-39.7302"
2313252,TARRAFAS,-6.678380,-39.753,"-6.67838,-39.753"
2314003,VARZEA ALEGRE,-6.78264,-39.2942,"-6.78264,-39.2942"
