id,cidade,id_estado,sigla,estado,latitude,longitude,gps,populacao
2300101,ABAIARA,23,CE,CEARA,-7.3607808,-39.0487878,"-7.3607808,-39.0487878",11737
2300150,ACARAPE,23,CE,CEARA,-4.2237866,-38.7071663,"-4.2237866,-38.7071663",14929
2300200,ACARAU,23,CE,CEARA,-2.8869514,-40.1194713,"-2.8869514,-40.1194713",62641
2300309,ACOPIARA,23,CE,CEARA,-6.0936464,-39.4543204,"-6.0936464,-39.4543204",54270
2300408,AIUABA,23,CE,CEARA,-6.5710836,-40.1212278,"-6.5710836,-40.1212278",17399
2300507,ALCANTARAS,23,CE,CEARA,-3.5862470,-40.5457641,"-3.586247,-40.5457641",11714
2300606,ALTANEIRA,23,CE,CEARA,-6.9980933,-39.7385742,"-6.9980933,-39.7385742",7586
2300705,ALTO SANTO,23,CE,CEARA,-5.5190371,-38.2719351,"-5.5190371,-38.2719351",17146
2300754,AMONTADA,23,CE,CEARA,-3.3634586,-39.8284791,"-3.3634586,-39.8284791",43452
2300804,ANTONINA DO NORTE,23,CE,CEARA,-6.7754187,-39.9879345,"-6.7754187,-39.9879345",7353
2300903,APUIARES,23,CE,CEARA,-3.9460303,-39.4313298,"-3.9460303,-39.4313298",14600
2301000,AQUIRAZ,23,CE,CEARA,-3.9063117,-38.3875040,"-3.9063117,-38.387504",80271
2301109,ARACATI,23,CE,CEARA,-4.5582590,-37.7678940,"-4.558259,-37.767894",74547
2301208,ARACOIABA,23,CE,CEARA,-4.3702577,-38.8084313,"-4.3702577,-38.8084313",26469
2301257,ARARENDA,23,CE,CEARA,-4.7504395,-40.8303611,"-4.7504395,-40.8303611",10935
2301307,ARARIPE,23,CE,CEARA,-7.2128610,-40.1359222,"-7.212861,-40.1359222",21600
2301406,ARATUBA,23,CE,CEARA,-4.4195958,-39.0463737,"-4.4195958,-39.0463737",11847
2301505,ARNEIROZ,23,CE,CEARA,-6.3235099,-40.1603859,"-6.3235099,-40.1603859",7840
