codigo_ibge,cidade,latitude,longitude,capital,codigo_uf
5200050,ABADIA DE GOIÁS,-16.7573,-49.4412,0,52
3100104,ABADIA DOS DOURADOS,-18.4831,-47.3916,0,31
5200100,ABADIÂNIA,-16197,-48.7057,0,52
3100203,ABAETÉ,-19.1551,-45.4444,0,31
1500107,ABAETETUBA,-1.72183,-48.8788,0,15
2300101,ABAIARA,-7.34588,-39.0416,0,23
2900108,ABAÍRA,-13.2488,-41.6619,0,29
2900207,ABARÉ,-8.72073,-39.1162,0,29
4100103,ABATIÁ,-23.3049,-50.3133,0,41
4200051,ABDON BATISTA,-27.6126,-51.0233,0,42
1500131,ABEL FIGUEIREDO,-4.95333,-48.3933,0,15
4200101,ABELARDO LUZ,-26.5716,-52.3229,0,42
3100302,ABRE CAMPO,-20.2996,-42.4743,0,31
2600054,ABREU E LIMA,-7.90072,-34.8984,0,26
1700251,ABREULÂNDIA,-9.62101,-49.1518,0,17
3100401,ACAIACA,-20359,-43.1439,0,31
2100055,AÇAILÂNDIA,-4.94714,-47.5004,0,21
2900306,ACAJUTIBA,-11.6575,-38.0197,0,29
1500206,ACARÁ,-1.95383,-48.1985,0,15
2300150,ACARAPE,-4.22083,-38.7055,0,23
2300200,ACARAÚ,-2.88769,-40.1183,0,23
2400109,ACARI,-6.4282,-36.6347,0,24
2200053,ACAUÃ,-8.21954,-41.0831,0,22
4300034,ACEGUÁ,-31.8665,-54.1615,0,43
2300309,ACOPIARA,-6.08911,-39448,0,23
5100102,ACORIZAL,-15194,-56.3632,0,51
1200013,ACRELÂNDIA,-9.82581,-66.8972,0,12
5200134,ACREÚNA,-17396,-50.3749,0,52
2400208,AÇU,-5.58362,-36914,0,24
3100500,AÇUCENA,-19.0671,-42.5419,0,31
3500105,ADAMANTINA,-21682,-51.0737,0,35
5200159,ADELÂNDIA,-16.4127,-50.1657,0,52
3500204,ADOLFO,-21.2325,-49.6451,0,35
4100202,ADRIANÓPOLIS,-24.6606,-48.9922,0,41
2900355,ADUSTINA,-10.5437,-38.1113,0,29
2600104,AFOGADOS DA INGAZEIRA,-7.74312,-37631,0,26
2400307,AFONSO BEZERRA,-5.49229,-36.5075,0,24
3200102,AFONSO CLÁUDIO,-20.0778,-41.1261,0,32
2100105,AFONSO CUNHA,-4.13631,-43.3275,0,21
2600203,AFRÂNIO,-8.51136,-41.0095,0,26
1500305,AFUÁ,-0.154874,-50.3861,0,15
2600302,AGRESTINA,-8.45966,-35.9447,0,26
2200103,AGRICOLÂNDIA,-5.79676,-42.6664,0,22
4200200,AGROLÂNDIA,-27.4087,-49822,0,42
4200309,AGRONÔMICA,-27.2662,-49708,0,42
1500347,ÁGUA AZUL DO NORTE,-6.79053,-50.4791,0,15
3100609,ÁGUA BOA,-17.9914,-42.3806,0,31
5100201,ÁGUA BOA,-14051,-52.1601,0,51
2200202,ÁGUA BRANCA,-5.88856,-42637,0,22
